tiempo actual: 22.1 ocurrencia numero: 0
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
65,1,130,0,0,213.4,126.166,142,0
66,1,130,0,0,226.6,322.043,142,0
67,1,130,0,0,110.2,255.351,142,0
68,1,130,0,0,329.8,184.145,142,0
69,1,132,0,0,210.2,111.582,142,0
70,1,132,0,0,229.8,327.689,142,0
71,1,140,0,0,210.2,34.2937,142,0
72,1,140,0,0,229.8,405.711,142,0
73,1,140,0,0,34.3179,229.8,142,0
74,1,140,0,0,405.748,210.2,142,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 148.1 ocurrencia numero: 26
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
65,1,130,0,0,213.4,157.116,147,0
66,1,130,0,0,226.6,277.245,147,0
67,1,130,0,0,110.2,310.857,147,0
68,1,130,0,0,329.8,128.157,147,0
69,1,132,0,0,210.2,147.179,147,0
70,1,132,0,0,229.8,278.801,147,0
71,1,140,0,0,210.2,74.8832,147,0
72,1,140,0,0,229.8,362.075,147,0
73,1,140,0,0,75.2478,229.8,147,0
74,1,140,0,0,365.371,210.2,147,0
paquetes recibidos, entidades en rango 
0,4

tiempo actual: 153.1 ocurrencia numero: 27
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
75,1,150,0,0,210.413,34.4526,152,0
76,1,150,0,0,229.8,405.649,152,0
77,1,150,0,0,34.3281,229.8,152,0
78,1,150,0,0,405.805,210.2,152,0
79,1,152,0,0,0,0,0,0
80,1,152,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 158.1 ocurrencia numero: 28
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
75,1,150,0,0,213.4,81.3798,157,0
76,1,150,0,0,226.6,360.188,157,0
77,1,150,0,0,79.3956,229.8,157,0
78,1,150,0,0,365.326,210.2,157,0
79,1,152,0,0,210.2,55.5032,157,0
80,1,152,0,0,229.8,384.755,157,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 163.1 ocurrencia numero: 29
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
75,1,150,0,0,213.4,133.019,162,0
76,1,150,0,0,226.6,309.939,162,0
77,1,150,0,0,110.2,266.584,162,0
78,1,150,0,0,329.8,194.148,162,0
79,1,152,0,0,210.2,113.325,162,0
80,1,152,0,0,229.8,328.081,162,0
81,1,160,0,0,210.2,34.2973,162,0
82,1,160,0,0,229.8,405.807,162,0
83,1,160,0,0,34.3194,229.8,162,0
84,1,160,0,0,405.555,210.2,162,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 168.1 ocurrencia numero: 30
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
75,1,150,1,0,213.4,197.783,167,1
76,1,150,1,0,226.6,263.861,167,0
77,1,150,0,0,114.189,329.684,167,0
78,1,150,0,0,329.8,144.739,167,0
79,1,152,0,0,210.2,163.274,167,0
80,1,152,0,0,229.8,280.37,167,0
81,1,160,0,0,210.2,75.553,167,0
82,1,160,0,0,229.8,362.16,167,0
83,1,160,0,0,77.2742,229.8,167,0
84,1,160,0,0,361.426,210.2,167,0
paquetes recibidos, entidades en rango 
2,4

tiempo actual: 173.1 ocurrencia numero: 31
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
85,1,170,0,0,210.2,34.2949,172,0
86,1,170,0,0,229.8,405.767,172,0
87,1,170,0,0,34.2637,229.8,172,0
88,1,170,0,0,405.697,210.2,172,0
89,1,172,0,0,0,0,0,0
90,1,172,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 178.1 ocurrencia numero: 32
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
85,1,170,0,0,213.4,76.9412,177,0
86,1,170,0,0,226.6,362.358,177,0
87,1,170,0,0,72.6883,229.8,177,0
88,1,170,0,0,363.231,210.2,177,0
89,1,172,0,0,210.2,54.4996,177,0
90,1,172,0,0,229.8,384.455,177,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 183.1 ocurrencia numero: 33
